"","year","macrounit","MDperKMsqSpring_mean","MDperKMsqFall_mean","AvrgWinterMinTemp","HuntDen_All_mean","HuntDen_Aless_mean","CoyoteDen_mean","WTailDen_mean","WellDen_mean","WoodyVeg_mean","MaleFall_mean","FemaleFall_mean","FawnFall_mean","MDperKMsqFall_mean_tplus1","MDperKMsqFall_mean_tplus2","MDperKMsqSpring_mean_tplus1","HuntDen_All_mean_tplus1","HuntDen_Aless_mean_tplus1","AvrgWinterMinTemp_tplus1","WinterMort_mean","RatioSprAut_mean","FawnTotalRatio_mean","FawnTotalRatio_mean_tminus1","FawnFemaleRatio_mean","RepRateFall_mean","RepRateFall_mean_tminus1"
"1",1962,"0-1",0.5774498887,0.7598024851,-13.8,0.9789316876,0.4073815097,0,0,0,4.01126813643333,6,7,12,0.6078419881,1.3980365727,NA,NA,NA,NA,NA,NA,0.923076923076923,NA,1.71428571428571,-0.199999999973677,NA
"2",1963,"0-1",0.6686261869,0.6078419881,-10,0.4894658438,0,0,0,0,3.96275932776667,3,6,11,1.3980365727,1.5196049703,0.5774498887,0.9789316876,0.4073815097,-13.8,-0.0303920994,0.950000000008226,1.22222222222222,0.923076923076923,1.83333333333333,1.30000000011516,-0.199999999973677
"3",1964,"0-1",0.5774498887,1.3980365727,-11.1,0.9242087982,NA,0,0,0,3.91425051916667,5,17,24,1.5196049703,1.0941155786,0.6686261869,0.4894658438,0,-10,-0.7294103858,0.478260869534118,1.09090909090909,1.22222222222222,1.41176470588235,0.0869565217204708,1.30000000011516
"4",1965,"0-1",0.972547181,1.5196049703,-13.9,1.2191043687,NA,0,0,0,3.86574171046667,8,22,20,1.0941155786,1.4892128709,0.5774498887,0.9242087982,NA,-11.1,-0.9421550816,0.379999999990787,0.666666666666667,1.09090909090909,0.909090909090909,-0.280000000010529,0.0869565217204708
"5",1966,"0-1",0.8813708828,1.0941155786,-11.4,1.3802328763,NA,0,0,0,3.81723290186667,9,12,15,1.4892128709,0.4862735905,0.972547181,1.2191043687,NA,-13.9,-0.1215683976,0.888888888909199,0.714285714285714,0.666666666666667,1.25,0.361111111136499,-0.280000000010529
"6",1967,"0-1",0.8813708828,1.4892128709,-9.8,1.1765421214,NA,0,0,0,3.7687240932,13,15,21,0.4862735905,1.0941155786,0.8813708828,1.3802328763,NA,-11.4,-0.6078419881,0.591836734708952,0.75,0.714285714285714,1.4,-0.673469387753732,0.361111111136499
"7",1968,"0-1",0.4254893917,0.4862735905,-10.4,0.3617791019,0,0,0,0,3.72021528456667,6,6,4,1.0941155786,1.37744591965,0.8813708828,1.1765421214,NA,-9.8,0.3950972923,1.81250000003856,0.333333333333333,0.75,0.666666666666667,1.24999999994859,-0.673469387753732
"8",1969,"0-1",0.6990182863,1.0941155786,-11.7,1.0366947375,NA,0,0,0,3.6717064759,7,11,18,1.37744591965,1.19318242195,0.4254893917,0.3617791019,0,-10.4,-0.6686261869,0.3888888889092,1,0.333333333333333,1.63636363636364,0.258958328161767,1.24999999994859
"9",1970,"0-1",0.58953264645,1.37744591965,-10.2,1.0488553796,NA,0,0,0,3.6231976673,11,15.5,21.5,1.19318242195,0.99372287455,0.6990182863,1.0366947375,NA,-11.7,-0.67842763335,0.50747421465201,0.811320754716981,1,1.38709677419355,-0.133771856354854,0.258958328161767
"10",1971,"0-1",0.78301255,1.19318242195,-10.3,1.2434256529,NA,0,0.15794014089,0,3.5746888586,11.5,12.5,17,0.99372287455,2.11391486995,0.58953264645,1.0488553796,NA,-10.2,-0.6036497755,0.494084253677267,0.708333333333333,0.811320754716981,1.36,-0.167166012280022,-0.133771856354854
"11",1972,"0-1",0.4740673627,0.99372287455,-11.2,1.2343051713,NA,0.028211783183,0.3422036386,0,3.52618005,8,12.5,13,2.11391486995,1.869452214,0.78301255,1.2434256529,NA,-10.3,-0.21071032455,0.787958665392081,0.634146341463415,0.708333333333333,1.04,1.12726799803946,-0.167166012280022
"12",1973,"0-1",0.87012010565,2.11391486995,-8.9,0.4560240781,0.0030401605,0.014105891592,0.46065874427,0,3.47767124133333,18,25.5,29,1.869452214,1.9758245619,0.4740673627,1.2343051713,NA,-11.2,-1.63984750725,0.22426038505099,0.666666666666667,0.634146341463415,1.13725490196078,-0.115644513137741,1.12726799803946
"13",1974,"0-1",1.1486731935,1.869452214,-10,0.5411485726,0,0,0.658083920385,0,3.4291624327,9,23.5,34.5,1.9758245619,1.4588207715,0.87012010565,0.4560240781,0.0030401605,-8.9,-0.99933210835,0.465441212743403,1.06153846153846,0.666666666666667,1.46808510638298,0.056900276510625,-0.115644513137741
"14",1975,"0-1",0.7576446438,1.9758245619,-10.1,1.1826224425,0.6749156355,0.014105891592,0.434335387455,0,3.38065362403333,9.5,26,35,1.4588207715,2.097054859,1.1486731935,0.5411485726,0,-10,-0.8271513684,0.581363960976074,0.985915492957746,1.06153846153846,1.34615384615385,-0.261664826103203,0.056900276510625
"15",1976,"0-1",1.01801186005,1.4588207715,-8.6,1.033654577,0.5411485726,0,0.648990984565,0,3.33214481543333,4,20,24,2.097054859,0.9257566412,0.7576446438,1.1826224425,0.6749156355,-10.1,-0.7011761277,0.519354165091143,1,0.985915492957746,1.2,0.437499999978579,-0.261664826103203
"16",1977,"0-1",0.58043971065,2.097054859,-10.6,1.0610160216,0.6840361171,0.060784198811,0.11845510567,0,3.28363600673333,20,25,24,0.9257566412,0.5774498887,1.01801186005,1.033654577,0.5411485726,-8.6,-1.07904299895,0.485448368544564,0.533333333333333,1,0.96,-0.558544385604936,0.437499999978579
"17",1978,"0-1",1.1051194157,0.9257566412,-12.1,1.0062931323,0.5624296963,0.014105891592,0.131616784075,0,3.23512719813333,2.5,13,16.5,0.5774498887,1.276468175,0.58043971065,1.0610160216,0.6840361171,-10.6,-0.34531693055,0.626989518430689,1.06451612903226,0.533333333333333,1.26923076923077,-0.376240079734683,-0.558544385604936
"18",1979,"0-1",0.3028420734,0.5774498887,-14,0.8482047852,0.5624296963,0,0.039485035225,0,3.18661838946667,5,6,8,1.276468175,1.2667671302,1.1051194157,1.0062931323,0.5624296963,-12.1,0.527669527,1.91379275903565,0.727272727272727,1.06451612903226,1.33333333333333,1.21052631575302,-0.376240079734683
"19",1980,"0-1",0.3180381231,1.276468175,-9.7,0.4043413492,0.1216064208,0,0.144778462485,0,3.13810958083333,16,11,15,1.2667671302,1.5325812536,0.3028420734,0.8482047852,0.5624296963,-14,-0.9736261016,0.237249999123558,0.555555555555556,0.727272727272727,1.36363636363636,-0.00759991121596127,1.21052631575302
"20",1981,"0-1",0.919759125133333,1.2667671302,-6.8,0.449943757,0.1550481865,0.014524751562,0.189688487826667,0.0396656024033333,3.08960077216667,7,16,20.5,1.5325812536,2.11108344475,0.3180381231,0.4043413492,0.1216064208,-9.7,-0.9487290071,0.251062816138739,0.891304347826087,0.555555555555556,1.28125,0.20983661247828,-0.00759991121596127
